Timestamp,Fact / Evidence/Quote (Please keep this as short as possible whilst being accurate),Source (If no URL upload to drive and extract URL ),Type : Facts or Evidence?,"Subject (If you want to add more that one other tag, please do so in this format under the other option: ""Subject_01, Subject_02, Subject_03 """,Target Audience (who will want to know this),Context,Discord Name or First / Last Name or Group Name,Email address
09/02/2025 23:31:33,Subject matter experts were purposefully excluded from the Advisory Board of the review by Cass,https://www.whatdotheyknow.com/request/cass_review_minutes_and_emails_d/response/1869829/attach/html/3/FOI%202104%201439618%20Disclosure.pdf.html,Fact (objective and verifiable statement),"Cass review, NHS","Trans +, LGBTQ+, Allies of Trans+, Allies of Trans+ Children, General Population, Academics / Subject Matter Experts, MPs","Cass email, mentioning this, found via FOI",tacc,tacc@info.com
09/02/2025 23:33:44, The British Medical Association voted to publicly critique the Cass Review after doctors and academics raised concerns about its methodologies and implementation issues.,https://www.bma.org.uk/bma-media-centre/bma-to-undertake-an-evaluation-of-the-cass-review-on-gender-identity-services-for-children-and-young-people,Fact (objective and verifiable statement),"Cass review, NHS","Trans +, LGBTQ+, Allies of Trans+, Allies of Trans+ Children, General Population, Academics / Subject Matter Experts, MPs",After Cass Review published,tacc,tacc@info.com
09/02/2025 23:36:49,"The Review speculates, without evidence, about the possibility of gender dysphoria emerging as a result of mental illness, pornography consumption, neurodiversity, social media, and peer influence.",https://law.yale.edu/sites/default/files/documents/integrity-project_cass-response.pdf,Evidence (information or data that supports a claim or argument),"Cass review, NHS","Academics / Subject Matter Experts, MPs","White Paper, Written by Subject Matter experts under Yale Uni (non peer reviewed)",tacc,tacc@info.com
10/02/2025 20:59:44,The Professional Association for Transgender Health Aotearoa (PATHA) called many of the recommendations from the Cass review ‘harmful’.,https://patha.nz/News/13341582,Fact (objective and verifiable statement),Cass review,"General Population, Academics / Subject Matter Experts, MPs",Statement by the PATHA secretary published online soon after the original publication of the review (11 Apr 2024).,tacc,taccrate0@gmail.com
20/02/2025 15:27:52,"At a pub after the Let Women Speak rally in Nottingham on February 8, attendees were filmed calling the pride flag ""the pedo flag."" They were as a result subsequently refused service and ejected and kicked out.",https://www.dailymail.co.uk/news/article-14377875/womens-rights-service-campaigners-pub-pride-flag.html,Fact (objective and verifiable statement),Let Women Speak,"LGBTQ+, Allies of Trans+, General Population",,tacc,tacc@info.com
20/02/2025 15:35:50,"""Disgust is a perfectly good reason to reject something.  Don’t believe the intellectual rationale that asks you to discount it."" - Kellie-Jay Keen / PosieParker",https://x.com/ThePosieParker/status/1801534420131754420?lang=en,Quote (direct word for word quote),Let Women Speak,"Trans +, LGBTQ+, Allies of Trans+, Allies of Trans+ Children, General Population, Academics / Subject Matter Experts",About Trans Rights,tacc,tacc@info.com
20/02/2025 16:09:59,"On a ‘Let Women Speak’ livestream, hosted by Kellie-Jay Keen in Newcastle, Lisa Morgan quoted Nazi leader Adolf Hitler in a speech against transgender rights: “Do you know ‘The Big Lie’? The big lie was first described by Adolph Hitler in Mein Kampf.”",https://youtu.be/vgxjSGeCE4Q?t=573  / https://www.thepinknews.com/2023/01/16/newcastle-let-women-speak-rally-adolt-hitler-trans-speech/ ,Quote (direct word for word quote),Let Women Speak,General Population,"Sunday January 15 2023, Newcastle. ",tacc,tacc@info.com
20/02/2025 16:25:12,"""There are pockets of Bradford where the culture is not British. Like many ex pat communities they hold on to their past culture rather tightly. There was an all boys school that was 99.9% Pakistani Muslim. Awful place for women"" - Kellie-Jay Keen / PosieParker",https://womansplaceuk.org/2022/06/22/womans-place-and-posie-parker/#jp-carousel-22265,Quote (direct word for word quote),Let Women Speak,General Population,Racism,tacc,tacc@info.com
20/02/2025 16:27:40,"""A class of 7 year olds just walked past only 2/15 girls weren't wearing hijab.#ffs #disgusting #islam #sexist"" - Kellie-Jay Keen / PosieParker",https://womansplaceuk.org/2022/06/22/womans-place-and-posie-parker/#jp-carousel-22266,Quote (direct word for word quote),Let Women Speak,General Population,racism,tacc,tacc@info.com
20/02/2025 17:01:19,"""I think you should start using women’s toilets, men."" - Kellie-Jay Keen / PosieParker",https://www.thepinknews.com/2021/01/30/gender-critical-feminist-posie-parker-men-guns-womens-toilets-twitter/,Quote (direct word for word quote),Let Women Speak,General Population,as part of a speech encouraging men with guns to intimidate women,tacc,tacc@info.com
20/02/2025 17:07:22,"""I would advise you to also not employ anybody who claims to have body dysmorphia"" - Kellie-Jay Keen / PosieParker",https://www.youtube.com/watch?v=u8JdfRhpjoQ,Quote (direct word for word quote),Let Women Speak,"Trans +, LGBTQ+, Allies of Trans+, General Population",Transphobic rant about businesses calling for dicrimination,tacc,tacc@info.com
20/02/2025 17:11:16,"""If I owned a house, there is no way I would rent my house to somebody who called themselves trans."" - Kellie-Jay Keen / PosieParker",https://www.youtube.com/watch?v=u8JdfRhpjoQ,Quote (direct word for word quote),Let Women Speak,"Trans +, LGBTQ+, Allies of Trans+, General Population","We get it, she hates trans people",tacc,tacc@info.com
20/02/2025 17:22:40,"""Theres a state in america where on a birth certificate it can have two women listed as parents [...] Afirming parents as something they are not"" - - Kellie-Jay Keen / PosieParker",https://x.com/LGBwiththeT/status/1574851661620723712,Quote (direct word for word quote),Let Women Speak,"LGBTQ+, General Population",,tacc,tacc@info.com
20/02/2025 17:26:28,“Each and every one of you women who stand in my way… will be annihilated.” - Kellie-Jay Keen / PosieParker,https://www.thepinknews.com/2023/02/04/posie-parker-trans-women-annihilated/,Quote (direct word for word quote),Let Women Speak,"Trans +, LGBTQ+, Allies of Trans+, General Population",insane ramblings,tacc,tacc@info.com
20/02/2025 17:31:13,"""As far as I'm concerned gender dysphoria I don't even belive it's a real thing"" - Kellie-Jay Keen / PosieParker",https://www.youtube.com/watch?v=l42ogNe74Kg,Quote (direct word for word quote),Let Women Speak,"LGBTQ+, Allies of Trans+",,tacc,tacc@info.com
20/02/2025 17:33:24,"""Well who has any faith in doctors these days? I've been unlisted by my doctor for asking the person behind the counter to stop wearing a pronoun badge"" - Kellie-Jay Keen / PosieParker",https://www.youtube.com/watch?v=l42ogNe74Kg,Quote (direct word for word quote),Let Women Speak,"Trans +, LGBTQ+, Allies of Trans+, General Population, Academics / Subject Matter Experts",,tacc,tacc@info.com
20/02/2025 22:23:10,"The Cass Review has big impacts on policy, and yet wasn't peer reviewed by experts before publication. If it were written in the USA, it would therefore not have been legal for the Government to publish it. ",https://www.nejm.org/doi/abs/10.1056/NEJMp2413747,Fact (objective and verifiable statement),Cass review,"Trans +, Academics / Subject Matter Experts","From an article titled 'The Future of Gender-Affirming Care — A Law and Policy Perspective on the Cass Review' by Daniel G. Aaron and Craig Konnoth (published in the New England Journal of Medicine, potentially an opinion article and so not peer reviewed, but still in a journal). The authors note in the middle column on the second page that the Cass Review has not undergone peer review and that the US has standards which require a government published scientific publication to undergo peer review if it “will have or does have a clear and substantial impact on important public policies or private sector decisions"". They note that this means that if the Cass Review were produced/published by the US government, it would've violated federal law. ",tacc,taccrate0@gmail.com
01/03/2025 12:37:33,The NHS stopped the prescription of puberty blocker treatments to under-18s following the Cass Review into gender identity services.,https://www.gov.uk/government/news/new-restrictions-on-puberty-blockers,Fact (objective and verifiable statement),"Cass review, NHS","Trans +, Allies of Trans+, Allies of Trans+ Children, Academics / Subject Matter Experts, MPs",,tacc,tacc@info.com
01/03/2025 12:42:52,"The goverment implemented a ban on puberty blockers on the reasoning that they presented a risk to patient safety, but only in the context of them being used to treat gender incongruence.",https://www.gov.uk/government/news/new-restrictions-on-puberty-blockers,Fact (objective and verifiable statement),Cass review,"Trans +, Allies of Trans+, Allies of Trans+ Children, Academics / Subject Matter Experts, MPs",,tacc,tacc@info.com
01/03/2025 14:53:07,"The puberty blocker legislation was made at 2.58 p.m. on 29th May 2024, The legislation of the ban of puberty blockers was laid before parliament 1 hour and 2 minutes later.",https://www.legislation.gov.uk/uksi/2024/727/made,Fact (objective and verifiable statement),Puberty Blocker Ban,"Academics / Subject Matter Experts, MPs, Trans +, Allies of Trans+ Children","Taken from legislation.gov.uk from the documentThe Medicines (Gonadotrophin-Releasing Hormone Analogues) (Emergency Prohibition) (England, Wales and Scotland) Order 2024 which lists the date  ",tacc,info@tacc.co.uk
02/03/2025 01:41:48,The Cass review is the only stated Evidence in the decison to Ban puberty blockers,https://www.gov.uk/government/consultations/proposed-changes-to-the-availability-of-puberty-blockers-for-under-18s/equality-impact-assessment-proposed-changes-to-the-availability-of-puberty-blockers-consultation,Fact (objective and verifiable statement),"Cass review, NHS","Trans +, Allies of Trans+, Allies of Trans+ Children, Academics / Subject Matter Experts, MPs",Reading the Impact report,tacc,tacc@info.com
